CellID,20180906132516_NoCellID,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,9/6/2018 13:26,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JUDGE,OK,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.302,0.329,401.1,0.302-0.303,0.329-0.330,398.800-401.200,2899,2409,3217,5.009,189,2.993,188.7,1.805,150.5,3.002,0.2,0,0,7.807,49.8,2.173,4,2.667,OK
HBM,200gray,1,0.302,0.329,233.7,0.301-0.304,0.328-0.331,233.221-235.564,2459,2051,2721,5.01,113.9,2.995,113.8,1.804,150.5,3.002,0.2,0,0,7.807,49.4,1.569,0,0.583,OK
HBM,128gray,2,0.302,0.329,87.39,0.301-0.304,0.328-0.331,87.375-88.253,1919,1598,2135,5.01,49,2.998,49.1,1.805,150,3.002,0.2,0,0,7.807,49.4,1.05,0,0.566,OK
HBM,64gray,3,0.302,0.329,19.13,0.301-0.304,0.328-0.331,19.022-19.214,1358,1118,1537,5.011,17.7,2.999,18.1,1.806,149.1,3.002,0.2,0,0,7.807,49.3,0.798,1,1.324,OK
HBM,16gray,4,0.302,0.331,0.917,0.301-0.304,0.328-0.331,0.909-0.918,531,529,781,5.01,8.2,3,8.9,1.805,149.6,3.002,0.2,0,0,7.808,50.3,0.731,4,4.877,OK
HBM,2gray,5,0.302,0.331,0.917,0.301-0.304,0.328-0.331,0.909-0.918,300,330,600,5.01,8.2,3,8.9,1.805,149.6,3.002,0.2,0,0,7.808,50.3,0.731,4,4.877,OK
HBM,0gray,6,0,0,0,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,5.01,8.2,3,8.9,1.805,149.6,3.002,0.2,0,0,7.808,50.3,0.731,0,4.877,OK
HBM,224gray,7,0.304,0.328,301.1,0.301-0.304,0.328-0.331,299.256-302.264,2664,2191,2915,5.01,144.7,2.994,144.5,1.805,149.8,3.002,0.2,0,0,7.807,49.6,1.816,2,2.516,OK
HBM,160gray,8,0.302,0.329,143.4,0.301-0.304,0.328-0.331,142.749-144.184,2157,1800,2395,5.01,73.8,2.996,73.8,1.805,150.2,3.002,0.2,0,0,7.807,49.4,1.248,0,0.568,OK
HBM,96gray,9,0.302,0.329,46.7,0.301-0.304,0.328-0.331,46.404-46.871,1683,1394,1876,5.01,30.5,2.998,30.8,1.806,149.5,3.002,0.2,0,0,7.807,49.1,0.899,0,0.584,OK
HBM,36gray,10,0.304,0.329,5.406,0.301-0.304,0.328-0.331,5.370-5.424,1129,862,1240,5.011,10.8,3,11.3,1.805,149.7,3.003,0.2,0,0,7.807,49.3,0.744,1,2.271,OK
HBM,9gray,11,0,0,0,0.000-0.000,0.000-0.000,0.000-0.000,433,487,694,5.01,7.7,3,8.5,1.805,149.3,3.002,0.2,0,0,7.807,51.5,0.736,0,5.066,OK
HBM,1gray,12,0,0,0,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,5.01,7.7,3,8.5,1.804,149.4,3.002,0.2,0,0,7.807,50.1,0.725,0,5.066,OK
