name  place
何琳 四川 
关杰 福建 
郭东明 河南 
黄瑞松 江苏 
陈学东 安徽 
黄庆学 吉林 
高金吉 辽宁 
侯晓 陕西 
甘晓华 江西 
冯煜芳 浙江 
冯培德 广东 
樊会涛 河南 
杜善义 辽宁 
董春鹏 河北 
丁荣军 江苏 
邓宗全 None 
周仲义 None 
曹湘洪 None 
才鸿年 北京 
朱高峰 浙江 
周寿桓 四川 
赵梓森 广东 
周立伟 None 
钟山 四川 
戴永年 None 
丁传贤 江苏 
关兴亚 辽宁 
崔崑 山东 
傅恒志 河南 
陈蕴博 None 
陈清如 浙江 
顾真安 江苏 
秦裕琨 江苏 
王思敬 安徽 
杨奇逊 None 
汤中立 安徽 
王德民 None 
唐西生 江苏 
杨裕生 江苏 
童晓光 None 
郁铭芳 上海 
傅廷栋 广东 
麦康森 广东 
邓秀新 湖南 
刘旭 河北 
罗锡文 贵州 
方智远 湖南 
吴孔明 河南 
王正国 安徽 
庄辉 浙江 
朱晓东 河南 
曹耀峰 陕西 
钟世镇 广东 
柴洪峰 山西 
陈晓红(女) None 
王金南 浙江 
徐寿波 北京 
王众托 北京 
沈荣骏 安徽 
许庆瑞 江苏 
汪应洛 None 
李京文 广西 
陆佑楣 上海 
傅志寰 None 
周建平 湖南 
向巧(女) None 
郑静晨 陕西 
赵晓哲 辽宁 
王玉普 辽宁 
杨善林 安徽 
王礼恒 江苏 
王陇德 甘肃 
王基铭 上海 
孙永福 陕西 
邵安林 黑龙江 
卢春房 None 
刘合 None 
栾恩杰 吉林 
王安 内蒙古 
凌文 黑龙江 
金智新 辽宁 
黄维和 None 
钟南山 None 
范国滨 北京 
丁烈云 湖北 
胡文瑞 None 
甄永苏 广东 
赵铠 江苏 
张金哲 None 
俞梦孙 None 
俞永新 福建 
于德泉 北京 
肖培根 None 
姚新生 None 
肖碧莲(女) None 
项坤三 浙江 
吴咸中 辽宁 
汤钊猷 广东 
王琳芳(女) 山东 
吴天一 None 
闻玉梅(女) None 
王振义 江苏 
唐希灿 上海 
孙燕 河北 
盛志勇 None 
沈渔邨(女) 浙江 
夏家辉 None 
邱蔚六 四川 
彭司勋 湖南 
秦伯益 江苏 
卢世璧 湖北 
陆道培 浙江 
黎介寿 湖南 
刘耀 山西 
李载平 None 
刘彤华(女) None 
刘玉清 天津 
李连达 辽宁 
胡之璧(女) 安徽 
胡亚美(女) 北京 
侯云德 江苏 
洪涛 山东 
顾健人 江苏 
顾玉东 上海 
郭应禄 山西 
戴尅戎 None 
池志强 浙江 
程天民 江苏 
陈灏珠 广东 
陈亚珠(女) 浙江 
陈君石 上海 
陈洪铎 None 
陈冀胜 None 
周良辅 福建 
周宏灏 湖南 
张志愿 上海 
郑树森 浙江 
张运 山东 
张英泽 河北 
张心湜 湖南 
张伯礼 天津 
詹启敏 江西 
曾溢滔 广东 
杨宝峰 吉林 
于金明 None 
袁国勇 None 
杨胜利 江苏 
徐建国 山西 
谢立信 山东 
夏照帆(女) 福建 
吴以岭 河北 
王学浩 江苏 
王威琪 上海 
王永炎 None 
王锐 甘肃 
王红阳(女) 山东 
王广基 江苏 
王辰 山东 
田志刚 山西 
孙颖浩 山东 
石学敏 None 
沈祖尧 浙江 
沈倍奋(女) None 
邱贵兴 江苏 
桑国卫 上海 
阮长耿 None 
乔杰(女) 黑龙江 
宁光 山东 
马丁 None 
刘志红(女) 新疆 
刘德培 安徽 
林东昕 福建 
廖万清 广东 
刘昌孝 湖南 
李松 辽宁 
李兆申 None 
李大鹏 浙江 
李兰娟(女) 浙江 
李春岩 河北 
黄璐琦 江西 
胡盛寿 湖北 
郎景和 None 
郝希山 河北 
侯惠民 None 
顾晓松 江苏 
韩德民 None 
韩雅玲(女) 山东 
高长青 内蒙古 
高润霖 河北 
樊代明 重庆 
付小兵 四川 
范上达 广东 
董家鸿 None 
丁健 江苏 
丛斌 河北 
陈志南 None 
陈肇隆 台湾 
程京 None 
程书钧 None 
陈香美(女) None 
陈赛娟(女) 浙江 
赵法箴 山东 
曹雪涛 山东 
