
Parameters:   # 1
Column :      RR6/LR6,     RR7/LR7,     RR8/LR8,     RR9/LR9,   RR10/LR10,   RR11/LR11,   RR12/LR12,   RR13/LR13,   RR14/LR14,   RR15/LR15,   RR16/LR16,   RR17/LR17,   RR18/LR18,   RR19/LR19,   RR20/LR20,   RR21/LR21,   RR22/LR22,   RR23/LR23,   RR24/LR24,   RR25/LR25,   RR26/LR26,   RR27/LR27,   RR28/LR28,   RR29/LR29,   RR30/LR30,   RR31/LR31,
   LT2 :        1.750,       1.611,       1.659,       1.593,       1.700,       1.565,       1.713,       1.652,       1.438,       1.502,       1.620,       1.445,       1.488,       1.477,       1.454,       1.470,       1.415,       1.360,       1.440,       1.317,       1.329,       1.433,       1.338,       1.251,       1.415,       1.527,
   LT3 :        1.654,       1.561,       1.597,       1.568,       1.679,       1.531,       1.695,       1.638,       1.477,       1.492,       1.611,       1.438,       1.481,       1.477,       1.440,       1.456,       1.397,       1.349,       1.433,       1.301,       1.313,       1.415,       1.324,       1.231,       1.404,       1.515,
   LT4 :        1.659,       1.565,       1.636,       1.579,       1.704,       1.574,       1.731,       1.681,       1.506,       1.531,       1.656,       1.488,       1.538,       1.385,       1.492,       1.504,       1.440,       1.401,       1.477,       1.331,       1.347,       1.447,       1.301,       1.265,       1.431,       1.540,
   LT5 :        1.684,       1.586,       1.638,       1.602,       1.718,       1.590,       1.743,       1.695,       1.547,       1.565,       1.709,       1.549,       1.586,       1.593,       1.556,       1.556,       1.522,       1.449,       1.531,       1.329,       1.392,       1.483,       1.397,       1.299,       1.465,       1.581,
   LT6 :        1.713,       1.611,       1.645,       1.622,       1.747,       1.429,       1.775,       1.720,       1.584,       1.584,       1.745,       1.595,       1.640,       1.590,       1.604,       1.602,       1.558,       1.492,       1.568,       1.392,       1.422,       1.524,       1.401,       1.326,       1.488,       1.597,
   LT7 :        1.731,       1.631,       1.677,       1.638,       1.747,       1.645,       1.772,       1.725,       1.536,       1.586,       1.747,       1.593,       1.634,       1.638,       1.602,       1.604,       1.561,       1.506,       1.584,       1.397,       1.447,       1.543,       1.433,       1.344,       1.508,       1.629,
   LT8 :        1.750,       1.640,       1.691,       1.645,       1.752,       1.495,       1.777,       1.720,       1.572,       1.584,       1.741,       1.586,       1.629,       1.659,       1.593,       1.604,       1.565,       1.495,       1.574,       1.408,       1.449,       1.558,       1.458,       1.365,       1.531,       1.661,
   LT9 :        1.793,       1.665,       1.700,       1.668,       1.761,       1.638,       1.786,       1.722,       1.568,       1.595,       1.750,       1.595,       1.629,       1.622,       1.597,       1.611,       1.249,       1.506,       1.574,       1.401,       1.454,       1.558,       1.451,       1.370,       1.529,       1.620,
   RT2 :        1.745,       1.784,       1.747,       1.668,       1.722,       1.768,       1.659,       1.702,       1.677,       1.725,       1.747,       1.688,       1.672,       1.804,       1.713,       1.659,       1.681,       1.602,       1.554,       1.568,       1.599,       1.615,       1.618,       1.531,       1.668,       1.811,
   RT3 :        1.713,       1.763,       1.745,       1.652,       1.718,       1.772,       1.647,       1.695,       1.684,       1.711,       1.743,       1.675,       1.675,       1.816,       1.713,       1.668,       1.711,       1.602,       1.543,       1.595,       1.586,       1.604,       1.634,       1.527,       1.665,       1.816,
   RT4 :        1.702,       1.750,       1.731,       1.640,       1.713,       1.766,       1.640,       1.695,       1.677,       1.706,       1.747,       1.677,       1.677,       1.823,       1.720,       1.677,       1.729,       1.604,       1.547,       1.615,       1.590,       1.604,       1.618,       1.511,       1.638,       1.791,
   RT5 :        1.684,       1.741,       1.727,       1.638,       1.700,       1.763,       1.638,       1.693,       1.672,       1.702,       1.743,       1.672,       1.672,       1.816,       1.704,       1.647,       1.702,       1.577,       1.517,       1.577,       1.556,       1.568,       1.577,       1.477,       1.609,       1.763,
   RT6 :        1.677,       1.738,       1.725,       1.634,       1.704,       1.761,       1.634,       1.684,       1.665,       1.691,       1.729,       1.654,       1.650,       1.786,       1.670,       1.613,       1.670,       1.547,       1.486,       1.536,       1.522,       1.538,       1.545,       1.456,       1.593,       1.738,
   RT7 :        1.688,       1.750,       1.731,       1.640,       1.702,       1.757,       1.622,       1.677,       1.659,       1.688,       1.700,       1.631,       1.622,       1.766,       1.656,       1.584,       1.640,       1.513,       1.458,       1.499,       1.497,       1.511,       1.520,       1.438,       1.574,       1.720,
   RT8 :        1.775,       1.838,       1.811,       1.713,       1.775,       1.823,       1.695,       1.741,       1.711,       1.738,       1.738,       1.665,       1.643,       1.800,       1.688,       1.611,       1.670,       1.547,       1.486,       1.513,       1.524,       1.543,       1.547,       1.470,       1.604,       1.784,


Parameters:  # 2
Column :      RR6/LR6,     RR7/LR7,     RR8/LR8,     RR9/LR9,   RR10/LR10,   RR11/LR11,   RR12/LR12,   RR13/LR13,   RR14/LR14,   RR15/LR15,   RR16/LR16,   RR17/LR17,   RR18/LR18,   RR19/LR19,   RR20/LR20,   RR21/LR21,   RR22/LR22,   RR23/LR23,   RR24/LR24,   RR25/LR25,   RR26/LR26,   RR27/LR27,   RR28/LR28,   RR29/LR29,   RR30/LR30,   RR31/LR31,
   LT2 :        1.647,       1.597,       1.602,       1.483,       1.593,       1.492,       1.495,       1.474,       1.554,       1.413,       1.447,       1.420,       1.433,       1.370,       1.404,       1.319,       1.303,       1.235,       1.240,       1.285,       1.265,       1.310,       1.222,       1.294,       1.283,       1.308,
   LT3 :        1.574,       1.565,       1.574,       1.470,       1.579,       1.481,       1.492,       1.474,       1.547,       1.410,       1.447,       1.413,       1.433,       1.367,       1.401,       1.313,       1.301,       1.231,       1.240,       1.276,       1.258,       1.294,       1.203,       1.276,       1.281,       1.294,
   LT4 :        1.586,       1.572,       1.588,       1.488,       1.604,       1.524,       1.538,       1.520,       1.593,       1.456,       1.495,       1.458,       1.477,       1.422,       1.447,       1.360,       1.356,       1.276,       1.283,       1.313,       1.301,       1.329,       1.235,       1.308,       1.308,       1.324,
   LT5 :        1.606,       1.597,       1.615,       1.513,       1.622,       1.547,       1.556,       1.547,       1.622,       1.495,       1.556,       1.524,       1.538,       1.502,       1.520,       1.420,       1.420,       1.331,       1.335,       1.360,       1.349,       1.374,       1.274,       1.340,       1.347,       1.349,
   LT6 :        1.636,       1.618,       1.634,       1.538,       1.647,       1.568,       1.584,       1.568,       1.640,       1.513,       1.595,       1.561,       1.579,       1.556,       1.565,       1.458,       1.458,       1.376,       1.367,       1.385,       1.379,       1.404,       1.294,       1.365,       1.365,       1.367,
   LT7 :        1.652,       1.634,       1.647,       1.549,       1.652,       1.574,       1.579,       1.568,       1.647,       1.513,       1.593,       1.563,       1.579,       1.547,       1.561,       1.470,       1.458,       1.385,       1.385,       1.404,       1.401,       1.422,       1.315,       1.383,       1.390,       1.392,
   LT8 :        1.665,       1.640,       1.656,       1.549,       1.652,       1.574,       1.577,       1.565,       1.638,       1.506,       1.579,       1.561,       1.568,       1.549,       1.549,       1.465,       1.449,       1.379,       1.376,       1.401,       1.397,       1.433,       1.329,       1.404,       1.410,       1.415,
   LT9 :        1.695,       1.654,       1.654,       1.570,       1.656,       1.561,       1.572,       1.558,       1.620,       1.511,       1.579,       1.565,       1.572,       1.499,       1.543,       1.458,       1.420,       1.370,       1.374,       1.376,       1.395,       1.424,       1.313,       1.404,       1.392,       1.392,
